Comment,Designator,Footprint,LCSC Part #
,3.3V,CHIP-LED0805,
,4.4V,CHIP-LED0805,
,GPS,CHIP-LED0805,
,GSM,CHIP-LED0805,
,JP1,JP1,
,JP2,JP1,
,JP3,JP1,
,JP5,JP1,
,LED_EN,JP1,
,LED4,SML0805,
,LED5,SML0805,
 820k,R6 R9,0603,
1.1k,R14,0603,
1.5k,R16 R17,0603,
1k,R3 R4 R5 R27,0603,
1uF,C21,C0805,
1uF,C5,CAPC1608X85,
1uF,C23,CAPC2012X110,
2A/16V,F1,F1812,
2N3906,Q1,TO92,
3.3uH,L1 L3,WE-HCI_7050,
4.7k,R13 R15,0603,
4.7uF,C24 C25,CAPC2012X110,
10k,R23 R28,0603,
10uF,C12 C17,CAPC2012X110,
22-23-2021,SOLAR,22-23-2021,
22uF,C13 C14 C18 C19,CAPC2012X110,
68pF,C15 C20,CAPC1608X85,
100k,R1 R2 R10 R18 R19 R20 R21 R22,0603,
100n,C1 C2 C3 C4 C6 C8,CAPC1608X85,
100pf,C7,CAPC1608X85,
143k,R7,0603,
330K 0.1%,R25,R0805,
470uF,C9 C10,CAPPRD508W65D1000H1100B,
680K 0.1%,R24,R0805,
750k,R8 R11,0603,
3000TR,BT1,BAT_3000TR,
ADAFRUIT-XTSD,U$1,ADAFRUIT-XTSD,
ADXL343BCCZ-RL7,U1,PQFN80P300X500X100-14N,
BQ24074QFN_3X3,U8,QFN_3X3,
DMG6602SVT,Q2 Q3 Q7,TSOT26,
DNF,C11 C16,CAPC2012X110,
DNF,R12,P640,
DNP,R26,0603,
DS3231SN,U7,SOIC127P1032X265-16N,
FONA-800-BREAKOUTNOHOLE,U2,FONA-800-BREAKOUT-NH,
JUMPER-SMT_2_NC_TRACE_SILK,JP4 JP10,SMT-JUMPER_2_NC_TRACE_SILK,
MMBT3906LT1SMD,Q6,SOT23-BEC,
MP2155GQ-Z,U3 U6,QFN-10_MP2155_MNP,
SLOT130.5,U$2,SLOT130.5,
SPARKFUN-GPS-ZED-F9P,U5,SPARKFUN-GPS-ZED-F9P,
SPARKFUN-SWARM-M138NOTOPHOLE,U4,SPARKFUN-SWARM-M138-NTH,
TEST-POINTTP_15TH_THRU,TP1 TP3 TP6,TP_15TH,
THING_PLUS_PHYSICAL,J1,THING_PLUS,
XBEE-PRO,XB1,XBEE-PRO,
XT30PW-M,BAT,XT30PW-M,
